ItemID;Name;Path;Type;Description;Hidden;Bu rapor neyi gösteriyor?;Ana KPI'lar
B7C0FF57-3B5F-43A1-A18F-C2F4C231B064;Akıllı İlan;/.KARİYER.NET CORE/Akıllı İlan;13;;False;;
F22A01B3-DBFB-4469-B326-684903411CD2;Akıllı İlan Performansı;/.KARİYER.NET CORE/Akıllı İlan Performansı;13;;False;;
DA2AD5A9-5A20-4A62-A968-5C258B5159CF;Canli Isin Olsun Metrikleri;/.KARİYER.NET CORE/Canli Isin Olsun Metrikleri;13;;False;;
0951655E-26FD-4B4B-9676-996387B50E75;Canli Saatlik Metrikler;/.KARİYER.NET CORE/Canli Saatlik Metrikler;13;;False;;
FAB0AD7D-351D-4276-8EFB-A867F0822BC4;Canli Satis Dashboard;/.KARİYER.NET CORE/Canli Satis Dashboard;13;;False;;
11BE7C8B-B2FD-4502-8D50-D3D832E8CCCD;Cekilen Ilan Sayisi ve Hata Raporu;/.KARİYER.NET CORE/Cekilen Ilan Sayisi ve Hata Raporu;2;;False;;
2C8D9EB2-614C-46A1-A453-74C3EE387EF1;Daily Sales;/.KARİYER.NET CORE/Daily Sales;2;;False;;
91527383-BAB3-47AF-BC1F-08758FB4C5D9;Ek Urun Raporu (YTD Karşılaştırma);/.KARİYER.NET CORE/Ek Urun Raporu (YTD Karşılaştırma);2;;False;;
AEFD1DA3-974A-402F-9A28-BB65E88E7DE6;İlk 100 Gün Ek Ürün Satışı;/.KARİYER.NET CORE/İlk 100 Gün Ek Ürün Satışı;13;;False;;
5AC1E615-65C3-4727-9B36-2FE24FC50887;İşin Olsun Metrikleri;/.KARİYER.NET CORE/İşin Olsun Metrikleri;13;;False;;
9FDAA504-8FBA-43FC-AA20-F557C3D4D3B9;Istihdam  Endeksi;/.KARİYER.NET CORE/Istihdam  Endeksi;13;;False;;
4E10A504-899B-4821-9347-50C345550DE4;Konsolide Firma ve Aday;/.KARİYER.NET CORE/Konsolide Firma ve Aday;13;;False;;
5D19D329-A484-4A95-8560-CC50F3F8E43F;Metrics;/.KARİYER.NET CORE/Metrics;2;Knet Metrikleri - Login, Başvuru, Başvuran, İlan Sayıları, Yeni Üye, Yeni Cv ve Login Olan Firma Bilgileri;False;;
83940BA1-5BBA-4733-A1F2-B65459F053B6;MTD Gorunum;/.KARİYER.NET CORE/MTD Gorunum;13;;False;;
83BFFE81-95BC-48EA-B770-105EF059E0A7;Pazar Payı-İlan;/.KARİYER.NET CORE/Pazar Payı-İlan;13;;False;;
AEEF6334-51F7-41B7-831C-880CEF36A6CC;Raportal Kullanimi;/.KARİYER.NET CORE/Raportal Kullanimi;2;;False;;
5E0181FE-F556-4D4D-85A0-EBF4B1039308;Rekorlar;/.KARİYER.NET CORE/Rekorlar;2;;False;;
