ItemID;Klasör1;Path;Name;Yetki;Tip;Hidden;SonKullanim;İlkKullanim;Kullanim;Kullanici;Ana Konu;Bu rapor neyi gösteriyor?;Ana KPI’lar;Zaman Seviyesi;Kullanılan Filtreler;Hedef Kullanıcı;Yetkili Gruplar / Kullanıcılar;Benzer Raporlar;Not
F81F2483-BB60-4399-8989-002A273028FD;Pazarlama ve Ürün Yönetimi/;/Pazarlama ve Ürün Yönetimi/İşveren/Ilana Basvurulan Gun;Ilana Basvurulan Gun;BISecurity  BUILTIN\Administrators;Report;1;NULL;NULL;1;0;;;;;;;;;
7566D06A-09EF-4797-B0E1-002D6514F121;Satış/;/Satış/Portföy Performans/Teklif Raporu_Detay;Teklif Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;26.12.2025;26.03.2026;410;38;;;;;;;;;
F81B31E6-AB1B-481E-9E70-02289177F863;Satış/;/Satış/Global Counter-Sayaç Hakkı Tanım;Global Counter-Sayaç Hakkı Tanım;bi Satis Gelistirme  BISecurity  BUILTIN\Administrators  damra.kuru  deniz.sahin  erhan.cinali  ismail.kucukkurt  sercan.oner;Dashboard;0;12.01.2026;16.02.2026;6;5;;;;;;;;;
8F298386-B760-4376-90FA-03242FE5E138;Satış/;/Satış/Kullanıcı Performans/Hedef Gerceklestirme Raporu - Kirilimli_Detay;Hedef Gerceklestirme Raporu - Kirilimli_Detay;begumu  Bi Fiyatlandırma  Bi ik  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  okan.ay;Report;1;29.12.2025;25.03.2026;52;14;;;;;;;;;
6BB561B8-5669-42C9-84F5-0432C6C175EA;Test/;/Test/Çağrı-Kalite PuanlarıAI;Çağrı-Kalite PuanlarıAI;aylink  barisb  Bi Satış  BISecurity  BUILTIN\Administrators  deniz.sahin  resat.akinsel  utku.cetin;Dashboard;0;NULL;NULL;1;0;;;;;;;;;
F18585A7-E2F5-4749-93CD-04AFCD0636CF;Müşteri İlişkileri/;/Müşteri İlişkileri/Veri Guncelleme Ekip Raporu;Veri Guncelleme Ekip Raporu;BI MH Yonetim  Bi Veri Güncelleme Ekibi  BISecurity  BUILTIN\Administrators  cenkk;Report;0;30.12.2025;16.03.2026;56;5;;;;;;;;;
5D07A2A6-FA40-4903-8722-0562CA4A9318;Satış/;/Satış/Portföy Performans/Firma Aranma Analizi_Detay;Firma Aranma Analizi_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;17.03.2026;18.03.2026;6;3;;;;;;;;;
4BC0B1F0-7D15-4BCB-B1FD-0597D79B8631;Müşteri İlişkileri/;/Müşteri İlişkileri/Bas Getir Raporu;Bas Getir Raporu;BI MH Yonetim  BISecurity  BUILTIN\Administrators;Dashboard;0;26.03.2026;26.03.2026;1;1;;;;;;;;;
EF10048B-B536-4C55-B19D-0599CED848A6;Pazarlama ve Ürün Yönetimi/;/Pazarlama ve Ürün Yönetimi/İşveren/Form Takip;Form Takip;Bi DEM  Bi Fiyatlandırma  BI MH Yonetim  Bi Pazarlama İşveren  Bi Ürün Geliştirme  BISecurity  BUILTIN\Administrators  mehmet.yildiz;Report;0;15.01.2026;25.03.2026;86;7;;;;;;;;;
34D7C571-AA06-44F7-A64C-072D880A4D56;Test/;/Test/Spent_tablo;Spent_tablo;Bi DEM  BISecurity  BUILTIN\Administrators;Dashboard;0;22.01.2026;22.01.2026;1;1;;;;;;;;;
2CC78645-96DC-491F-BF3C-07DB0C46B0B8;WeConsulting/;/WeConsulting/WeBrand Teklif ve Satışları;WeBrand Teklif ve Satışları;aylink  Bi Pas Yönetim  Bi Webrand  BISecurity  BUILTIN\Administrators  utku.cetin;Dashboard;0;13.01.2026;24.03.2026;13;4;;;;;;;;;
91527383-BAB3-47AF-BC1F-08758FB4C5D9;.KARİYER.NET CORE/;/.KARİYER.NET CORE/Ek Urun Raporu (YTD Karşılaştırma);Ek Urun Raporu (YTD Karşılaştırma);Bi Fiyatlandırma  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  Bi Webrand  Bi Yönetim  BISecurity  BUILTIN\Administrators  julide.cetin;Report;0;11.03.2026;11.03.2026;1;1;;;;;;;;;
0ABEA03D-CBFF-4F15-9C93-08F9A27969AD;Test/;/Test/Churn;Churn;BISecurity  BUILTIN\Administrators;Dashboard;0;4.01.2026;19.02.2026;6;4;;;;;;;;;
AD428CE7-E9F3-4EC8-BC7D-0925641BFBB2;Pazarlama ve Ürün Yönetimi/;/Pazarlama ve Ürün Yönetimi/İşveren/10.Kat Raporu_Detay;10.Kat Raporu_Detay;Bi DEM  Bi Fiyatlandırma  BI MH Yonetim  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  Bi Ürün Geliştirme  BISecurity  BUILTIN\Administrators  busra.sengun  samet.demirbas;Report;1;NULL;NULL;1;0;;;;;;;;;
79DB7801-3921-40C7-831C-0952FE9603EE;Satış/;/Satış/Portföy Performans/NextGeo - Sonuç Kodu Raporu;NextGeo - Sonuç Kodu Raporu;Bi DEM  Bi Fiyatlandırma  Bi Satış  bi Satis Gelistirme  Bi Yönetim  BISecurity  BUILTIN\Administrators  melih.gucer  mina.savasci  resat.akinsel;Dashboard;0;29.12.2025;25.03.2026;52;10;;;;;;;;;
6E726AE8-AED8-4359-9E65-09A572479F5F;Subscriptions/;/Subscriptions/Aylik Churn Dashboardu Kullanim Raporu;Aylik Churn Dashboardu Kullanim Raporu;BISecurity  BUILTIN\Administrators;Report;0;4.01.2026;11.02.2026;4;3;;;;;;;;;
4E8454E4-D9C1-4954-B384-09EAA32745DC;WeConsulting/;/WeConsulting/Pas Gelir Raporu Fatura Detay;Pas Gelir Raporu Fatura Detay;Bi Fiyatlandırma  Bi Pas Ekibi  Bi Pas Yönetim  Bi Pazarlama İşveren  bi Satis Gelistirme  Bi Ürün Geliştirme  Bi Webrand  BISecurity  BUILTIN\Administrators;Report;1;2.01.2026;26.03.2026;265;7;;;;;;;;;
09CA120E-95EA-42FE-B9C6-09F90A42133E;Müşteri İlişkileri/;/Müşteri İlişkileri/Master Müşteri İlişkileri;Master Müşteri İlişkileri;Bi ik  Bi İlk Temas Ekibi  Bi MH  BI MH Yonetim  Bi Müşteri Destek  bi Satis Gelistirme  Bi Veri Güncelleme Ekibi  BISecurity  BUILTIN\Administrators;Dashboard;0;30.12.2025;26.01.2026;2;2;;;;;;;;;
8C4580B1-3464-4169-84F0-0A06E36BBF6B;Satış/;/Satış/_Satışlar;_Satışlar;Bi DEM  Bi Finans  Bi Fiyatlandırma  Bi ik  Bi Pas Ekibi  Bi Pas Yönetim  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  bi Techkariyer  Bi Teknolojisatis  bi TeleSatis  Bi Ürün Geliştirme  Bi Webrand  Bi Yönetim  bisatisci  BISecurity  BUILTIN\Administrators  busenur.satir  cenkk  enes.kose  kkamasoglu  neses  ozge.aydin  oznur.saglam;Dashboard;0;26.12.2025;26.03.2026;1112;96;;;;;;;;;
