ItemID;Klasör1;Path;Name;Yetki;Tip;Hidden;SonKullanim;İlkKullanim;Kullanim;Kullanici;Ana Konu;Bu rapor neyi gösteriyor?;Ana KPI’lar;Zaman Seviyesi;Kullanılan Filtreler;Hedef Kullanıcı;Yetkili Gruplar / Kullanıcılar;Benzer Raporlar;Not
7566D06A-09EF-4797-B0E1-002D6514F121;Satış/;/Satış/Portföy Performans/Teklif Raporu_Detay;Teklif Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;26.12.2025;26.03.2026;410.0;38;;;;;;;;;
F81B31E6-AB1B-481E-9E70-02289177F863;Satış/;/Satış/Global Counter-Sayaç Hakkı Tanım;Global Counter-Sayaç Hakkı Tanım;bi Satis Gelistirme  BISecurity  BUILTIN\Administrators  damra.kuru  deniz.sahin  erhan.cinali  ismail.kucukkurt  sercan.oner;Dashboard;0;12.01.2026;16.02.2026;6.0;5;;;;;;;;;
8F298386-B760-4376-90FA-03242FE5E138;Satış/;/Satış/Kullanıcı Performans/Hedef Gerceklestirme Raporu - Kirilimli_Detay;Hedef Gerceklestirme Raporu - Kirilimli_Detay;begumu  Bi Fiyatlandırma  Bi ik  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  okan.ay;Report;1;29.12.2025;25.03.2026;52.0;14;;;;;;;;;
5D07A2A6-FA40-4903-8722-0562CA4A9318;Satış/;/Satış/Portföy Performans/Firma Aranma Analizi_Detay;Firma Aranma Analizi_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;17.03.2026;18.03.2026;6.0;3;;;;;;;;;
79DB7801-3921-40C7-831C-0952FE9603EE;Satış/;/Satış/Portföy Performans/NextGeo - Sonuç Kodu Raporu;NextGeo - Sonuç Kodu Raporu;Bi DEM  Bi Fiyatlandırma  Bi Satış  bi Satis Gelistirme  Bi Yönetim  BISecurity  BUILTIN\Administrators  melih.gucer  mina.savasci  resat.akinsel;Dashboard;0;29.12.2025;25.03.2026;52.0;10;;;;;;;;;
8C4580B1-3464-4169-84F0-0A06E36BBF6B;Satış/;/Satış/_Satışlar;_Satışlar;Bi DEM  Bi Finans  Bi Fiyatlandırma  Bi ik  Bi Pas Ekibi  Bi Pas Yönetim  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  bi Techkariyer  Bi Teknolojisatis  bi TeleSatis  Bi Ürün Geliştirme  Bi Webrand  Bi Yönetim  bisatisci  BISecurity  BUILTIN\Administrators  busenur.satir  cenkk  enes.kose  kkamasoglu  neses  ozge.aydin  oznur.saglam;Dashboard;0;26.12.2025;26.03.2026;1112.0;96;;;;;;;;;
821A3FB9-246A-4FAB-A12C-0DF38C6D8D3A;Satış/;/Satış/Portföy Performans/Aktarilan Firmalar_Detay;Aktarilan Firmalar_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;14.01.2026;26.03.2026;200.0;33;;;;;;;;;
CFEFFF13-58E3-4FC1-B07F-1026AB8EDCA1;Satış/;/Satış/Kullanıcı Performans/Çağrı-Kalite Puanları;Çağrı-Kalite Puanları;aylink  Bi MH  Bi Müşteri Destek  Bi Satış  bi Satis Gelistirme  bi TeleSatis  Bi Veri Güncelleme Ekibi  Bi Yönetim  BISecurity  BUILTIN\Administrators  cenkk  ersinu  resat.akinsel  utku.cetin;Dashboard;0;26.12.2025;26.03.2026;1687.0;83;;;;;;;;;
CFB8223D-5701-4D57-A0F7-166378D0F7AB;Satış/;/Satış/Coensio Lead;Coensio Lead;Bi CoensioEkibi  Bi Fiyatlandırma  Bi Pazarlama İşveren  Bi Satış  bi TeleSatis  Bi Yönetim  bisatisci  BISecurity  BUILTIN\Administrators;Dashboard;0;13.01.2026;23.03.2026;5.0;5;;;;;;;;;
E9DDB918-6329-4B9E-989E-176723B2839D;Satış/;/Satış/Bootcamp Mezun Adayları;Bootcamp Mezun Adayları;Bi MH  Bi Satış  bi Satis Gelistirme  bi Techkariyer  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators;Dashboard;0;29.12.2025;12.03.2026;3.0;3;;;;;;;;;
